country,Within own borders,From former territories,Allocated to colonial power
USA,527.5522938085331,2.8749457623333328,
EU+UK,374.6886194891818,103.54978489203444,
China,306.9206765258395,1.9861343729581276,
Russia,169.9084213012746,69.1442599333333,
United Kingdom,76.41985449807555,53.74222964510788,
Brazil,115.37465619049755,,
Germany,91.52696438988852,0.5024137866666617,
India,74.21664582083542,,12.952887712666666
Japan,71.72950442727617,1.4142377719999994,
Indonesia,68.7402546671397,,22.170338531
Canada,59.10009688408248,,1.201857952
France,36.71473666553429,18.812570299555528,
International Transport,45.614618681161225,,
Netherlands,12.648446693311813,22.83192773875757,
Mexico,31.412496456877804,,
Australia,28.759241046234017,,3.3245365066666683
South Africa,26.54376956772272,,0.693451082666665
Italy,25.43826180254961,0.001355501999997698,
Argentina,24.85766878774788,,
Poland,22.864940595577117,,4.210955202666667
